segment_key,channel_group,customer_count,repeat_loss_rate,avg_order_value,avg_units_per_order,avg_cac,promo_redemption_rate,margin_rate
seasonal_first_time|occasional_shop|premium_add_on,mass,257,0.179,66.67,1.47,14.83,0.172,0.434
seasonal_first_time|occasional_shop|premium_add_on,prestige,270,0.133,75.25,1.58,16.8,0.171,0.574
seasonal_first_time|occasional_shop|trial_size_sampler,mass,653,0.185,24.71,0.69,14.82,0.199,0.369
seasonal_first_time|occasional_shop|trial_size_sampler,prestige,179,0.212,34.11,0.66,16.8,0.202,0.509
seasonal_first_time|channel_switcher|single_sku_staple,mass,821,0.135,30.72,1.13,14.84,0.199,0.394
seasonal_first_time|channel_switcher|single_sku_staple,prestige,201,0.114,41.27,1.15,16.8,0.2,0.534
seasonal_first_time|channel_switcher|multi_sku_builder,mass,402,0.167,81.13,2.29,14.8,0.195,0.414
seasonal_first_time|channel_switcher|multi_sku_builder,prestige,272,0.066,92.46,2.32,16.8,0.194,0.555
seasonal_first_time|channel_switcher|value_bundle_buyer,mass,611,0.119,63.29,2.13,14.78,0.217,0.351
seasonal_first_time|channel_switcher|value_bundle_buyer,prestige,109,0.101,74.13,2.03,16.8,0.22,0.49
seasonal_first_time|channel_switcher|premium_add_on,mass,181,0.149,66.87,1.6,14.81,0.181,0.427
seasonal_first_time|channel_switcher|premium_add_on,prestige,248,0.153,76.34,1.66,16.8,0.181,0.567
seasonal_first_time|channel_switcher|trial_size_sampler,mass,531,0.134,24.61,1.0,14.81,0.207,0.362
seasonal_first_time|channel_switcher|trial_size_sampler,prestige,132,0.068,34.85,1.08,16.8,0.209,0.502
routine_refill|prestige_loyalist|single_sku_staple,mass,413,0.039,34.31,1.2,10.19,0.112,0.445
routine_refill|prestige_loyalist|single_sku_staple,prestige,806,0.046,45.11,1.21,12.92,0.115,0.584
routine_refill|prestige_loyalist|multi_sku_builder,mass,165,0.03,83.33,2.39,10.17,0.11,0.465
routine_refill|prestige_loyalist|multi_sku_builder,prestige,1259,0.04,96.28,2.4,12.93,0.11,0.605
routine_refill|prestige_loyalist|value_bundle_buyer,mass,286,0.049,67.74,2.25,10.05,0.13,0.401
routine_refill|prestige_loyalist|value_bundle_buyer,prestige,248,0.069,77.58,2.09,12.89,0.128,0.542
routine_refill|prestige_loyalist|premium_add_on,mass,77,0.065,69.66,1.68,10.07,0.102,0.477
routine_refill|prestige_loyalist|premium_add_on,prestige,927,0.04,79.66,1.81,12.88,0.103,0.616
routine_refill|prestige_loyalist|trial_size_sampler,mass,200,0.045,27.87,1.11,10.19,0.123,0.413
routine_refill|prestige_loyalist|trial_size_sampler,prestige,573,0.031,37.91,1.12,12.9,0.121,0.553
routine_refill|value_seeker|single_sku_staple,mass,1812,0.073,34.03,1.21,10.13,0.164,0.405
routine_refill|value_seeker|single_sku_staple,prestige,685,0.053,45.19,1.21,12.92,0.164,0.545
routine_refill|value_seeker|multi_sku_builder,mass,892,0.11,82.91,2.39,10.11,0.16,0.426
routine_refill|value_seeker|multi_sku_builder,prestige,864,0.058,95.93,2.4,12.87,0.159,0.566
routine_refill|value_seeker|value_bundle_buyer,mass,1335,0.088,67.37,2.25,10.12,0.181,0.362
routine_refill|value_seeker|value_bundle_buyer,prestige,384,0.076,78.0,2.11,12.84,0.181,0.502
routine_refill|value_seeker|premium_add_on,mass,458,0.12,69.65,1.7,10.14,0.146,0.438
routine_refill|value_seeker|premium_add_on,prestige,794,0.053,78.77,1.79,12.93,0.146,0.578
routine_refill|value_seeker|trial_size_sampler,mass,1114,0.095,28.12,1.11,10.11,0.172,0.374
routine_refill|value_seeker|trial_size_sampler,prestige,471,0.066,37.78,1.12,12.87,0.171,0.514
routine_refill|deal_hunter|single_sku_staple,mass,331,0.184,33.99,1.2,10.12,0.195,0.382
routine_refill|deal_hunter|single_sku_staple,prestige,102,0.167,45.91,1.22,12.73,0.195,0.522
routine_refill|deal_hunter|multi_sku_builder,mass,190,0.216,82.95,2.42,10.15,0.19,0.403
routine_refill|deal_hunter|multi_sku_builder,prestige,118,0.169,96.54,2.4,12.98,0.193,0.543
routine_refill|deal_hunter|value_bundle_buyer,mass,241,0.149,67.66,2.25,10.13,0.211,0.339
routine_refill|deal_hunter|value_bundle_buyer,prestige,48,0.167,77.74,2.12,12.98,0.21,0.479
routine_refill|deal_hunter|premium_add_on,mass,96,0.219,70.63,1.74,10.17,0.178,0.415
routine_refill|deal_hunter|premium_add_on,prestige,93,0.097,78.76,1.77,12.87,0.177,0.556
routine_refill|deal_hunter|trial_size_sampler,mass,201,0.159,28.13,1.13,10.09,0.2,0.351
routine_refill|deal_hunter|trial_size_sampler,prestige,51,0.118,37.86,1.11,12.79,0.204,0.491
routine_refill|occasional_shop|single_sku_staple,mass,749,0.143,34.22,1.21,10.13,0.149,0.408
routine_refill|occasional_shop|single_sku_staple,prestige,440,0.105,44.89,1.2,12.87,0.148,0.548
routine_refill|occasional_shop|multi_sku_builder,mass,405,0.158,83.03,2.39,10.11,0.148,0.428
routine_refill|occasional_shop|multi_sku_builder,prestige,561,0.086,95.86,2.4,12.85,0.147,0.568
routine_refill|occasional_shop|value_bundle_buyer,mass,598,0.119,67.28,2.24,10.09,0.169,0.364
routine_refill|occasional_shop|value_bundle_buyer,prestige,246,0.13,77.56,2.1,12.93,0.166,0.505
routine_refill|occasional_shop|premium_add_on,mass,165,0.139,69.55,1.71,10.07,0.133,0.441
routine_refill|occasional_shop|premium_add_on,prestige,500,0.136,79.45,1.81,12.94,0.134,0.581
routine_refill|occasional_shop|trial_size_sampler,mass,459,0.159,28.14,1.12,10.14,0.158,0.376
routine_refill|occasional_shop|trial_size_sampler,prestige,293,0.123,37.94,1.12,12.89,0.161,0.516
routine_refill|channel_switcher|single_sku_staple,mass,698,0.074,34.22,1.22,10.14,0.161,0.401
routine_refill|channel_switcher|single_sku_staple,prestige,373,0.07,45.07,1.21,12.88,0.161,0.541
routine_refill|channel_switcher|multi_sku_builder,mass,318,0.091,82.79,2.41,10.1,0.155,0.422
routine_refill|channel_switcher|multi_sku_builder,prestige,464,0.054,96.04,2.39,12.92,0.153,0.562
routine_refill|channel_switcher|value_bundle_buyer,mass,524,0.09,67.45,2.24,10.18,0.177,0.358
routine_refill|channel_switcher|value_bundle_buyer,prestige,219,0.082,77.38,2.1,12.88,0.176,0.498
routine_refill|channel_switcher|premium_add_on,mass,151,0.079,69.87,1.7,10.0,0.144,0.434
routine_refill|channel_switcher|premium_add_on,prestige,434,0.076,79.48,1.81,12.91,0.141,0.574
routine_refill|channel_switcher|trial_size_sampler,mass,439,0.084,28.2,1.12,10.13,0.167,0.37
routine_refill|channel_switcher|trial_size_sampler,prestige,259,0.089,37.66,1.12,12.86,0.168,0.51
gift_buyer|prestige_loyalist|single_sku_staple,mass,249,0.092,35.7,1.22,12.89,0.124,0.442
gift_buyer|prestige_loyalist|single_sku_staple,prestige,491,0.043,46.51,1.21,15.59,0.124,0.583
gift_buyer|prestige_loyalist|multi_sku_builder,mass,117,0.094,83.05,2.39,12.95,0.122,0.463
gift_buyer|prestige_loyalist|multi_sku_builder,prestige,723,0.054,97.53,2.4,15.57,0.122,0.603
gift_buyer|prestige_loyalist|value_bundle_buyer,mass,180,0.039,68.43,2.25,13.02,0.143,0.399
gift_buyer|prestige_loyalist|value_bundle_buyer,prestige,144,0.049,78.94,2.1,15.58,0.142,0.539
gift_buyer|prestige_loyalist|premium_add_on,mass,68,0.103,70.17,1.67,12.78,0.107,0.476
gift_buyer|prestige_loyalist|premium_add_on,prestige,572,0.061,80.8,1.81,15.6,0.111,0.615
gift_buyer|prestige_loyalist|trial_size_sampler,mass,149,0.054,29.81,1.12,12.93,0.135,0.41
gift_buyer|prestige_loyalist|trial_size_sampler,prestige,371,0.054,39.53,1.13,15.6,0.133,0.551
gift_buyer|value_seeker|single_sku_staple,mass,878,0.126,35.32,1.2,12.9,0.177,0.403
gift_buyer|value_seeker|single_sku_staple,prestige,361,0.072,46.62,1.2,15.61,0.177,0.543
gift_buyer|value_seeker|multi_sku_builder,mass,483,0.118,83.54,2.4,12.93,0.173,0.423
gift_buyer|value_seeker|multi_sku_builder,prestige,411,0.117,97.59,2.41,15.62,0.173,0.563
gift_buyer|value_seeker|value_bundle_buyer,mass,643,0.165,69.26,2.25,12.94,0.194,0.36
gift_buyer|value_seeker|value_bundle_buyer,prestige,179,0.117,78.97,2.1,15.63,0.198,0.499
gift_buyer|value_seeker|premium_add_on,mass,247,0.101,71.01,1.69,12.94,0.158,0.436
gift_buyer|value_seeker|premium_add_on,prestige,408,0.086,80.43,1.78,15.53,0.159,0.576
gift_buyer|value_seeker|trial_size_sampler,mass,580,0.14,29.42,1.04,12.92,0.186,0.371
gift_buyer|value_seeker|trial_size_sampler,prestige,225,0.076,38.98,1.08,15.59,0.184,0.511
gift_buyer|deal_hunter|single_sku_staple,mass,655,0.26,35.25,1.13,12.96,0.208,0.38
gift_buyer|deal_hunter|single_sku_staple,prestige,158,0.234,46.68,1.17,15.59,0.209,0.52
gift_buyer|deal_hunter|multi_sku_builder,mass,337,0.252,83.32,2.34,13.0,0.202,0.401
gift_buyer|deal_hunter|multi_sku_builder,prestige,163,0.147,97.35,2.32,15.63,0.206,0.54
gift_buyer|deal_hunter|value_bundle_buyer,mass,462,0.238,69.08,2.2,12.91,0.224,0.337
gift_buyer|deal_hunter|value_bundle_buyer,prestige,98,0.235,79.39,2.01,15.56,0.227,0.476
gift_buyer|deal_hunter|premium_add_on,mass,167,0.234,70.59,1.57,12.87,0.19,0.413
gift_buyer|deal_hunter|premium_add_on,prestige,165,0.206,80.56,1.66,15.59,0.191,0.553
gift_buyer|deal_hunter|trial_size_sampler,mass,426,0.23,29.77,0.99,12.95,0.217,0.348
gift_buyer|deal_hunter|trial_size_sampler,prestige,105,0.314,39.1,0.95,15.61,0.219,0.488
gift_buyer|occasional_shop|single_sku_staple,mass,592,0.184,35.41,1.08,12.93,0.164,0.405
gift_buyer|occasional_shop|single_sku_staple,prestige,258,0.136,46.79,1.12,15.6,0.164,0.545
gift_buyer|occasional_shop|multi_sku_builder,mass,309,0.181,83.17,2.17,12.88,0.158,0.426
gift_buyer|occasional_shop|multi_sku_builder,prestige,355,0.161,97.51,2.25,15.6,0.157,0.566
gift_buyer|occasional_shop|value_bundle_buyer,mass,444,0.203,68.8,1.97,12.91,0.181,0.362
gift_buyer|occasional_shop|value_bundle_buyer,prestige,149,0.134,80.32,1.98,15.64,0.184,0.502
gift_buyer|occasional_shop|premium_add_on,mass,128,0.188,70.6,1.51,13.0,0.147,0.438
gift_buyer|occasional_shop|premium_add_on,prestige,301,0.169,80.65,1.63,15.57,0.144,0.579
gift_buyer|occasional_shop|trial_size_sampler,mass,368,0.179,29.53,0.86,12.94,0.173,0.373
gift_buyer|occasional_shop|trial_size_sampler,prestige,168,0.185,38.99,0.86,15.65,0.171,0.514
gift_buyer|channel_switcher|single_sku_staple,mass,507,0.124,35.58,1.17,12.95,0.172,0.399
gift_buyer|channel_switcher|single_sku_staple,prestige,235,0.128,46.34,1.16,15.51,0.171,0.539
gift_buyer|channel_switcher|multi_sku_builder,mass,254,0.126,82.91,2.38,12.93,0.167,0.42
gift_buyer|channel_switcher|multi_sku_builder,prestige,301,0.12,97.05,2.36,15.59,0.167,0.56
gift_buyer|channel_switcher|value_bundle_buyer,mass,408,0.118,69.09,2.2,12.95,0.191,0.355
gift_buyer|channel_switcher|value_bundle_buyer,prestige,121,0.116,79.02,2.04,15.56,0.192,0.496
gift_buyer|channel_switcher|premium_add_on,mass,105,0.086,70.84,1.66,12.98,0.154,0.432
gift_buyer|channel_switcher|premium_add_on,prestige,231,0.117,80.75,1.74,15.55,0.156,0.572
gift_buyer|channel_switcher|trial_size_sampler,mass,285,0.144,29.57,1.03,12.98,0.183,0.367
gift_buyer|channel_switcher|trial_size_sampler,prestige,140,0.05,39.09,1.08,15.58,0.179,0.507
influencer_discovered|prestige_loyalist|single_sku_staple,mass,302,0.093,33.25,1.21,16.69,0.134,0.44
influencer_discovered|prestige_loyalist|single_sku_staple,prestige,715,0.059,43.96,1.2,16.8,0.136,0.58
influencer_discovered|prestige_loyalist|multi_sku_builder,mass,208,0.087,81.86,2.36,16.68,0.132,0.461
influencer_discovered|prestige_loyalist|multi_sku_builder,prestige,1119,0.046,94.99,2.39,16.8,0.131,0.601
influencer_discovered|prestige_loyalist|value_bundle_buyer,mass,244,0.09,65.83,2.24,16.69,0.152,0.397
influencer_discovered|prestige_loyalist|value_bundle_buyer,prestige,184,0.065,76.67,2.09,16.8,0.153,0.537
influencer_discovered|prestige_loyalist|premium_add_on,mass,88,0.068,68.38,1.72,16.66,0.119,0.473
influencer_discovered|prestige_loyalist|premium_add_on,prestige,746,0.059,78.42,1.81,16.8,0.119,0.613
influencer_discovered|prestige_loyalist|trial_size_sampler,mass,233,0.073,27.18,1.12,16.7,0.143,0.409
influencer_discovered|prestige_loyalist|trial_size_sampler,prestige,524,0.059,37.0,1.12,16.8,0.146,0.549
influencer_discovered|value_seeker|single_sku_staple,mass,1156,0.134,32.81,1.2,16.68,0.187,0.401
influencer_discovered|value_seeker|single_sku_staple,prestige,455,0.116,43.96,1.21,16.8,0.189,0.541
influencer_discovered|value_seeker|multi_sku_builder,mass,618,0.126,82.55,2.4,16.7,0.184,0.422
influencer_discovered|value_seeker|multi_sku_builder,prestige,569,0.102,95.12,2.4,16.8,0.183,0.562
influencer_discovered|value_seeker|value_bundle_buyer,mass,875,0.139,66.36,2.25,16.7,0.205,0.358
influencer_discovered|value_seeker|value_bundle_buyer,prestige,242,0.107,77.1,2.1,16.8,0.206,0.498
influencer_discovered|value_seeker|premium_add_on,mass,299,0.117,68.14,1.7,16.67,0.168,0.434
influencer_discovered|value_seeker|premium_add_on,prestige,501,0.098,78.17,1.8,16.8,0.17,0.574
influencer_discovered|value_seeker|trial_size_sampler,mass,681,0.128,27.09,1.11,16.69,0.196,0.369
influencer_discovered|value_seeker|trial_size_sampler,prestige,368,0.101,36.73,1.1,16.8,0.197,0.509
influencer_discovered|deal_hunter|single_sku_staple,mass,887,0.238,32.74,1.2,16.7,0.219,0.378
influencer_discovered|deal_hunter|single_sku_staple,prestige,183,0.202,43.83,1.21,16.8,0.22,0.518
influencer_discovered|deal_hunter|multi_sku_builder,mass,424,0.205,82.22,2.4,16.68,0.215,0.399
influencer_discovered|deal_hunter|multi_sku_builder,prestige,255,0.188,94.86,2.4,16.8,0.216,0.538
influencer_discovered|deal_hunter|value_bundle_buyer,mass,622,0.252,66.6,2.25,16.7,0.233,0.335
influencer_discovered|deal_hunter|value_bundle_buyer,prestige,116,0.233,76.56,2.09,16.8,0.235,0.475
influencer_discovered|deal_hunter|premium_add_on,mass,184,0.207,69.3,1.72,16.66,0.201,0.411
influencer_discovered|deal_hunter|premium_add_on,prestige,200,0.235,78.76,1.8,16.8,0.202,0.551
influencer_discovered|deal_hunter|trial_size_sampler,mass,527,0.239,27.01,1.05,16.67,0.227,0.347
influencer_discovered|deal_hunter|trial_size_sampler,prestige,133,0.195,37.11,1.06,16.8,0.226,0.487
influencer_discovered|occasional_shop|single_sku_staple,mass,785,0.18,32.77,1.13,16.69,0.173,0.403
influencer_discovered|occasional_shop|single_sku_staple,prestige,381,0.144,44.05,1.15,16.8,0.175,0.543
influencer_discovered|occasional_shop|multi_sku_builder,mass,392,0.191,82.65,2.34,16.71,0.169,0.424
influencer_discovered|occasional_shop|multi_sku_builder,prestige,448,0.185,95.33,2.35,16.8,0.173,0.564
influencer_discovered|occasional_shop|value_bundle_buyer,mass,568,0.194,66.61,2.15,16.69,0.192,0.36
influencer_discovered|occasional_shop|value_bundle_buyer,prestige,223,0.152,76.22,1.98,16.8,0.193,0.5
influencer_discovered|occasional_shop|premium_add_on,mass,194,0.216,69.07,1.6,16.7,0.157,0.436
influencer_discovered|occasional_shop|premium_add_on,prestige,408,0.135,78.21,1.71,16.8,0.158,0.576
influencer_discovered|occasional_shop|trial_size_sampler,mass,498,0.167,27.26,1.01,16.68,0.184,0.371
influencer_discovered|occasional_shop|trial_size_sampler,prestige,250,0.18,36.84,1.03,16.8,0.183,0.512
influencer_discovered|channel_switcher|single_sku_staple,mass,625,0.131,32.73,1.21,16.69,0.184,0.397
influencer_discovered|channel_switcher|single_sku_staple,prestige,331,0.076,44.22,1.22,16.8,0.185,0.536
influencer_discovered|channel_switcher|multi_sku_builder,mass,355,0.144,83.08,2.4,16.69,0.181,0.417
influencer_discovered|channel_switcher|multi_sku_builder,prestige,383,0.065,94.45,2.39,16.8,0.179,0.557
influencer_discovered|channel_switcher|value_bundle_buyer,mass,490,0.165,66.47,2.24,16.69,0.201,0.353
influencer_discovered|channel_switcher|value_bundle_buyer,prestige,178,0.112,76.65,2.1,16.8,0.199,0.493
influencer_discovered|channel_switcher|premium_add_on,mass,189,0.132,69.06,1.71,16.69,0.169,0.43
influencer_discovered|channel_switcher|premium_add_on,prestige,353,0.105,78.56,1.8,16.8,0.165,0.57
influencer_discovered|channel_switcher|trial_size_sampler,mass,399,0.105,26.97,1.08,16.68,0.192,0.365
influencer_discovered|channel_switcher|trial_size_sampler,prestige,201,0.075,37.31,1.08,16.8,0.191,0.505
promo_triggered|prestige_loyalist|single_sku_staple,mass,138,0.159,30.36,1.22,11.53,0.242,0.427
promo_triggered|prestige_loyalist|single_sku_staple,prestige,113,0.088,40.1,1.21,14.41,0.241,0.567
promo_triggered|prestige_loyalist|multi_sku_builder,mass,75,0.107,80.71,2.4,11.69,0.239,0.447
promo_triggered|prestige_loyalist|multi_sku_builder,prestige,146,0.103,92.58,2.41,14.62,0.237,0.587
promo_triggered|prestige_loyalist|value_bundle_buyer,mass,109,0.119,63.38,2.27,11.53,0.263,0.383
promo_triggered|prestige_loyalist|value_bundle_buyer,prestige,41,0.122,74.95,2.08,14.36,0.258,0.523
promo_triggered|prestige_loyalist|premium_add_on,mass,31,0.161,64.02,1.69,11.68,0.226,0.459
promo_triggered|prestige_loyalist|premium_add_on,prestige,111,0.144,75.58,1.82,14.42,0.225,0.599
promo_triggered|prestige_loyalist|trial_size_sampler,mass,102,0.167,24.17,1.1,11.64,0.249,0.395
promo_triggered|prestige_loyalist|trial_size_sampler,prestige,69,0.145,33.62,1.11,14.59,0.25,0.535
promo_triggered|value_seeker|single_sku_staple,mass,2352,0.185,30.03,1.21,11.62,0.293,0.387
promo_triggered|value_seeker|single_sku_staple,prestige,259,0.162,40.96,1.2,14.5,0.293,0.527
promo_triggered|value_seeker|multi_sku_builder,mass,1197,0.16,80.95,2.4,11.65,0.29,0.408
promo_triggered|value_seeker|multi_sku_builder,prestige,340,0.15,91.63,2.39,14.38,0.29,0.548
promo_triggered|value_seeker|value_bundle_buyer,mass,1784,0.184,63.41,2.25,11.61,0.306,0.345
promo_triggered|value_seeker|value_bundle_buyer,prestige,143,0.105,74.06,2.1,14.48,0.304,0.485
promo_triggered|value_seeker|premium_add_on,mass,566,0.186,65.65,1.71,11.65,0.276,0.42
promo_triggered|value_seeker|premium_add_on,prestige,299,0.151,75.76,1.81,14.55,0.278,0.56
promo_triggered|value_seeker|trial_size_sampler,mass,1518,0.174,24.29,1.09,11.62,0.301,0.356
promo_triggered|value_seeker|trial_size_sampler,prestige,156,0.16,33.78,1.06,14.55,0.301,0.496
promo_triggered|deal_hunter|single_sku_staple,mass,1474,0.28,30.01,1.17,11.64,0.319,0.365
promo_triggered|deal_hunter|single_sku_staple,prestige,122,0.221,41.05,1.17,14.56,0.319,0.505
promo_triggered|deal_hunter|multi_sku_builder,mass,713,0.276,81.12,2.4,11.64,0.317,0.385
promo_triggered|deal_hunter|multi_sku_builder,prestige,154,0.227,93.4,2.42,14.59,0.315,0.526
promo_triggered|deal_hunter|value_bundle_buyer,mass,1138,0.274,63.63,2.22,11.62,0.327,0.324
promo_triggered|deal_hunter|value_bundle_buyer,prestige,69,0.232,73.65,2.11,14.63,0.325,0.464
promo_triggered|deal_hunter|premium_add_on,mass,344,0.265,65.66,1.64,11.59,0.307,0.397
promo_triggered|deal_hunter|premium_add_on,prestige,150,0.26,75.49,1.64,14.54,0.304,0.538
promo_triggered|deal_hunter|trial_size_sampler,mass,930,0.273,24.26,1.0,11.59,0.324,0.334
promo_triggered|deal_hunter|trial_size_sampler,prestige,70,0.329,33.37,1.0,14.42,0.322,0.474
promo_triggered|occasional_shop|single_sku_staple,mass,1302,0.24,29.58,1.07,11.64,0.281,0.389
promo_triggered|occasional_shop|single_sku_staple,prestige,219,0.219,41.62,1.08,14.44,0.283,0.529
promo_triggered|occasional_shop|multi_sku_builder,mass,671,0.249,80.99,2.22,11.64,0.276,0.41
promo_triggered|occasional_shop|multi_sku_builder,prestige,288,0.194,92.24,2.26,14.5,0.277,0.55
promo_triggered|occasional_shop|value_bundle_buyer,mass,943,0.247,63.6,2.04,11.63,0.297,0.346
promo_triggered|occasional_shop|value_bundle_buyer,prestige,130,0.231,73.04,1.9,14.51,0.294,0.487
promo_triggered|occasional_shop|premium_add_on,mass,309,0.194,65.78,1.52,11.59,0.264,0.422
promo_triggered|occasional_shop|premium_add_on,prestige,241,0.237,74.96,1.58,14.55,0.263,0.562
promo_triggered|occasional_shop|trial_size_sampler,mass,777,0.252,24.27,0.9,11.57,0.29,0.358
promo_triggered|occasional_shop|trial_size_sampler,prestige,145,0.179,33.81,0.96,14.49,0.288,0.498
promo_triggered|channel_switcher|single_sku_staple,mass,1064,0.17,29.97,1.17,11.62,0.289,0.383
promo_triggered|channel_switcher|single_sku_staple,prestige,524,0.143,41.18,1.18,14.51,0.292,0.523
promo_triggered|channel_switcher|multi_sku_builder,mass,522,0.18,81.08,2.39,11.65,0.286,0.403
promo_triggered|channel_switcher|multi_sku_builder,prestige,570,0.147,91.68,2.39,14.53,0.286,0.543
promo_triggered|channel_switcher|value_bundle_buyer,mass,819,0.178,62.78,2.2,11.66,0.303,0.34
promo_triggered|channel_switcher|value_bundle_buyer,prestige,275,0.156,73.91,2.02,14.51,0.302,0.48
promo_triggered|channel_switcher|premium_add_on,mass,277,0.181,65.14,1.66,11.6,0.272,0.416
promo_triggered|channel_switcher|premium_add_on,prestige,512,0.148,75.75,1.75,14.47,0.273,0.556
promo_triggered|channel_switcher|trial_size_sampler,mass,630,0.189,24.08,1.02,11.63,0.298,0.351
promo_triggered|channel_switcher|trial_size_sampler,prestige,307,0.117,33.55,1.06,14.44,0.298,0.491
